book_id,book_title,news_id,news_title,similarity_score,rank
1,It's Only the Himalayas,42,"Nitin Srivastava: The Transformational IT Leader Bridging Technology, Culture & Social Responsibility - India Technology News",0.01,1
1,It's Only the Himalayas,4,2025 in review: How technology shapes our world - news.cgtn.com,0.0039,2
1,It's Only the Himalayas,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0038,3
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,48,BLOCK Technology rebrands as Timotec Reinraumtechnik following strategic consolidation - Cleanroom Technology,0.0153,1
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,50,Vue Flagship ‘EPIC’ Amsterdam Cinema Focuses On Technology Innovation - Forbes,0.0081,2
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,2025 in review: How technology shapes our world - news.cgtn.com,0.0076,3
3,See America: A Celebration of Our National Parks & Treasured Sites,41,Diabetes Dialogue: 2026 Technology Updates and American Diabetes Association Standards of Care - HCPLive,0.038,1
3,See America: A Celebration of Our National Parks & Treasured Sites,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0138,2
3,See America: A Celebration of Our National Parks & Treasured Sites,12,Four Futures for the New Economy: Geoeconomics and Technology in 2030 - The World Economic Forum,0.0128,3
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0223,1
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,43,Credo Technology Stock Is Down 28% in Two Weeks. Is the Dip Worth Buying? - The Motley Fool,0.0219,2
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0205,3
5,Under the Tuscan Sun,45,Deck the halls with Webex calls: How Cisco technology brings holiday cheer to hospitals - Cisco Blogs,0.018,1
5,Under the Tuscan Sun,30,New Heartbeat Of Work: Leading With Humanity In A Technology Driven World - Live Law,0.0149,2
5,Under the Tuscan Sun,12,Four Futures for the New Economy: Geoeconomics and Technology in 2030 - The World Economic Forum,0.0138,3
6,A Summer In Europe,38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0234,1
6,A Summer In Europe,49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0175,2
6,A Summer In Europe,21,Clean Science & Technology Stock Hits All-Time Low Amid Prolonged Downtrend - Markets Mojo,0.0163,3
7,The Great Railway Bazaar,49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0983,1
7,The Great Railway Bazaar,37,How China Built its ‘Manhattan Project’ To Rival West in AI Chips - Deccan Chronicle,0.0169,2
7,The Great Railway Bazaar,24,Empowering rising stars in nuclear science and technology - Nuclear Energy Agency (NEA),0.0151,3
8,A Year in Provence (Provence #1),38,Ras Technology - Complete Racing Solution Contract With Stake Will Not Be Renewed At End Of Current 2-Year Term In May 2026 - TradingView — Track All Markets,0.0643,1
8,A Year in Provence (Provence #1),9,InfoWorld’s 2025 Technology of the Year Award winners - InfoWorld,0.0243,2
8,A Year in Provence (Provence #1),26,KBR Methanol Technology Chosen by Fikrat Al-Tadweer for Saudi Arabia’s First Biomethanol Facility - ChemAnalyst,0.0178,3
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),39,Patented: Island Technology's Kernel-Based Protection of Computer Processes and More North Texas Inventive Activity - Dallas Innovates,0.0537,1
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),8,Review reinstated for England after technology failure on day 1 of third Ashes Test - India TV News,0.0453,2
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),6,Ashes 2025-26 - England have review reinstated after technology failure on Carey appeal - ESPNcricinfo,0.0449,3
10,Neither Here nor There: Travels in Europe,45,Deck the halls with Webex calls: How Cisco technology brings holiday cheer to hospitals - Cisco Blogs,0.0175,1
10,Neither Here nor There: Travels in Europe,42,"Nitin Srivastava: The Transformational IT Leader Bridging Technology, Culture & Social Responsibility - India Technology News",0.0106,2
10,Neither Here nor There: Travels in Europe,49,"Amaravati Academy to train 5,000 students in quantum technologies - The New Indian Express",0.0,3
11,"1,000 Places to See Before You Die",1,"AI fuels blue-collar productivity boom across manufacturing, Palantir technology chief tells Fox Business - Fox Business",0.0247,1
11,"1,000 Places to See Before You Die",37,How China Built its ‘Manhattan Project’ To Rival West in AI Chips - Deccan Chronicle,0.0215,2
