Category,Book_Title,ISBN_13,ISBN_10,Our_Price,Competitor_Prices,Lowest_Competitor_Price,Highest_Competitor_Price,Offer_Count,Price_Source,Price_Status
Poetry,A Light in the Attic,9780062999702,0062999702,Â£51.77,[],,,0,booksrun_internal_api,not_found
Historical Fiction,Tipping the Velvet,9780748129324,0748129324,Â£53.74,[],,,0,booksrun_internal_api,not_found
Fiction,Soumission,9789004498136,9004498133,Â£50.10,[],,,0,booksrun_internal_api,not_found
Mystery,Sharp Objects,9780307351487,0307351483,Â£47.82,[],,,0,booksrun_internal_api,not_found
History,Sapiens: A Brief History of Humankind,9780062316103,0062316109,Â£54.23,[],,,0,booksrun_internal_api,not_found
Young Adult,The Requiem Red,9780755395842,0755395840,Â£22.65,[],,,0,booksrun_internal_api,not_found
Business,The Dirty Little Secrets of Getting Your Dream Job,9781942872764,1942872763,Â£33.34,[],,,0,booksrun_internal_api,not_found
Default,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",9781941644119,1941644112,Â£17.93,[19.01],19.01,19.01,1,booksrun_internal_api,found
Default,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,9781101622742,1101622741,Â£22.60,[],,,0,booksrun_internal_api,not_found
Poetry,The Black Maria,9781908717023,1908717025,Â£52.15,[],,,0,booksrun_internal_api,not_found
Default,"Starving Hearts (Triangular Trade Trilogy, #1)",9789865163952,9865163950,Â£13.99,[],,,0,booksrun_internal_api,not_found
Poetry,Shakespeare's Sonnets,9781788880152,1788880153,Â£20.66,[],,,0,booksrun_internal_api,not_found
Young Adult,Set Me Free,9798385208630,nan,Â£17.46,[],,,0,booksrun_internal_api,not_found
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),9781620100431,1620100436,Â£52.29,[],,,0,booksrun_internal_api,not_found
Music,Rip it Up and Start Again,9780571252275,0571252273,Â£35.02,[],,,0,booksrun_internal_api,not_found
Music,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",9780316247184,0316247189,Â£57.25,[],,,0,booksrun_internal_api,not_found
Science Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,9781933747576,1933747579,Â£37.59,[],,,0,booksrun_internal_api,not_found
Politics,Libertarianism for Beginners,9781939994677,1939994675,Â£51.33,[],,,0,booksrun_internal_api,not_found
Travel,It's Only the Himalayas,9781927366486,1927366488,Â£45.17,[],,,0,booksrun_internal_api,not_found
Thriller,In Her Wake,9781495627736,149562773X,Â£12.84,[],,,0,booksrun_internal_api,not_found
Music,How Music Works,9780804188944,0804188947,Â£37.32,[],,,0,booksrun_internal_api,not_found
Food and Drink,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",9781940352510,1940352517,Â£30.52,[26.4],26.4,26.4,1,booksrun_internal_api,found
Romance,Chase Me (Paris Nights #2),9781943168002,1943168008,Â£25.27,[],,,0,booksrun_internal_api,not_found
Romance,Black Dust,9781439167939,1439167931,Â£34.53,[],,,0,booksrun_internal_api,not_found
Childrens,Birdsong: A Story in Pictures,9781935179948,1935179942,Â£54.64,[],,,0,booksrun_internal_api,not_found
Default,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,9781936161461,193616146X,Â£22.50,[],,,0,booksrun_internal_api,not_found
Default,Aladdin and His Wonderful Lamp,9781606600023,1606600028,Â£53.13,[],,,0,booksrun_internal_api,not_found
Nonfiction,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,9780805097351,080509735X,Â£40.30,[],,,0,booksrun_internal_api,not_found
Art,Wall and Piece,9788896968604,8896968607,Â£44.18,[],,,0,booksrun_internal_api,not_found
Spirituality,The Four Agreements: A Practical Guide to Personal Freedom,9781934408018,1934408018,Â£17.66,[],,,0,booksrun_internal_api,not_found
Nonfiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,9781881273622,1881273628,Â£31.05,[],,,0,booksrun_internal_api,not_found
Childrens,The Bear and the Piano,9780711240537,0711240531,Â£36.89,[],,,0,booksrun_internal_api,not_found
Philosophy,Sophie's World,9780297864073,0297864076,Â£15.94,[],,,0,booksrun_internal_api,not_found
Default,Penny Maybe,9781475962734,1475962738,Â£33.29,[],,,0,booksrun_internal_api,not_found
Default,Maude (1883-1993):She Grew Up with the country,9780964924123,0964924129,Â£18.02,[],,,0,booksrun_internal_api,not_found
Mystery,"In a Dark, Dark Wood",9781501112317,1501112317,Â£19.63,[],,,0,booksrun_internal_api,not_found
Thriller,Behind Closed Doors,9781479786589,1479786586,Â£52.22,[],,,0,booksrun_internal_api,not_found
Poetry,You can't bury them all: Poems,9781770908734,1770908730,Â£33.63,[],,,0,booksrun_internal_api,not_found
Poetry,Slow States of Collapse: Poems,9781458735423,1458735427,Â£57.31,[],,,0,booksrun_internal_api,not_found
Nonfiction,Reasons to Stay Alive,9781782115090,1782115099,Â£26.41,[],,,0,booksrun_internal_api,not_found
New Adult,Without Borders (Wanderlove #1),9781682300534,1682300536,Â£45.07,[],,,0,booksrun_internal_api,not_found
Contemporary,When We Collided,9798311674898,nan,Â£31.77,[],,,0,booksrun_internal_api,not_found
Fiction,"We Love You, Charlie Freeman",9781616206079,1616206071,Â£50.27,[],,,0,booksrun_internal_api,not_found
Poetry,Untitled Collection: Sabbath Poems 2014,9781538167656,1538167654,Â£14.27,[],,,0,booksrun_internal_api,not_found
Nonfiction,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",9781623363857,1623363853,Â£44.18,[],,,0,booksrun_internal_api,not_found
History,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9781628725469,162872546X,Â£25.52,[],,,0,booksrun_internal_api,not_found
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),9781682332504,1682332500,Â£16.28,[],,,0,booksrun_internal_api,not_found
Nonfiction,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,9780241970201,0241970202,Â£31.12,[],,,0,booksrun_internal_api,not_found
Sequential Art,This One Summer,9781442264335,1442264330,Â£19.49,[],,,0,booksrun_internal_api,not_found
Fiction,Thirst,9780781768528,0781768527,Â£17.27,[],,,0,booksrun_internal_api,not_found
Childrens,The Secret of Dreadwillow Carse,9781616206970,1616206977,Â£56.13,[],,,0,booksrun_internal_api,not_found
Food and Drink,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",9780062225252,0062225251,Â£56.41,[],,,0,booksrun_internal_api,not_found
Mystery,The Past Never Ends,9781134656424,1134656424,Â£56.50,[],,,0,booksrun_internal_api,not_found
Sequential Art,The Nameless City (The Nameless City #1),9781626726529,1626726523,Â£38.16,[],,,0,booksrun_internal_api,not_found
Fiction,The Murder That Never Was (Forensic Instincts #5),9781488054976,1488054975,Â£54.11,[],,,0,booksrun_internal_api,not_found
Science,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,9781408851265,1408851261,Â£42.96,[],,,0,booksrun_internal_api,not_found
Add a comment,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",9781572244993,1572244992,Â£23.89,[],,,0,booksrun_internal_api,not_found
Nonfiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,9781607747314,1607747316,Â£16.77,[],,,0,booksrun_internal_api,not_found
Default,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",9780692652718,069265271X,Â£20.59,[],,,0,booksrun_internal_api,not_found
Nonfiction,The Gutsy Girl: Escapades for Your Life of Epic Adventure,9781632861245,1632861240,Â£37.13,[],,,0,booksrun_internal_api,not_found
Nonfiction,The Electric Pencil: Drawings from Inside State Hospital No. 3,9781616895013,1616895012,Â£56.06,[],,,0,booksrun_internal_api,not_found
Philosophy,The Death of Humanity: and the Case for Life,9781621574897,162157489X,Â£58.11,[],,,0,booksrun_internal_api,not_found
Health,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",9781623365196,1623365198,Â£49.05,[],,,0,booksrun_internal_api,not_found
Add a comment,The Art Forger,9781616203184,1616203188,Â£40.76,[],,,0,booksrun_internal_api,not_found
History,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,9781408843291,1408843293,Â£19.73,[],,,0,booksrun_internal_api,not_found
Spirituality,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,9781608683925,1608683923,Â£32.24,[13.86],13.86,13.86,1,booksrun_internal_api,found
Nonfiction,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,9781607749738,1607749734,Â£41.83,[],,,0,booksrun_internal_api,not_found
Default,Soul Reader,9781611592245,1611592240,Â£39.58,[],,,0,booksrun_internal_api,not_found
Horror,Security,9780123946126,0123946123,Â£39.25,[],,,0,booksrun_internal_api,not_found
Fantasy,"Saga, Volume 6 (Saga (Collected Editions) #6)",9781506715896,1506715893,Â£25.02,[49.56],49.56,49.56,1,booksrun_internal_api,found
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",9781506715896,1506715893,Â£51.04,[49.56],49.56,49.56,1,booksrun_internal_api,found
Nonfiction,Reskilling America: Learning to Labor in the Twenty-First Century,9781627793292,1627793291,Â£19.83,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",9781632362285,1632362287,Â£13.61,[20.36],20.36,20.36,1,booksrun_internal_api,found
Fantasy,Princess Between Worlds (Wide-Awake Princess #5),9781619638488,1619638487,Â£13.34,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Pop Gun War, Volume 1: Gift",9781632159731,1632159732,Â£18.97,[],,,0,booksrun_internal_api,not_found
History,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",9781365317958,1365317951,Â£36.28,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",9781632150530,1632150530,Â£15.44,[20.9],20.9,20.9,1,booksrun_internal_api,found
Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),9781626923027,1626923027,Â£48.41,[20.99],20.99,20.99,1,booksrun_internal_api,found
Self Help,Online Marketing for Busy Authors: A Step-By-Step Guide,9781458734747,1458734749,Â£46.35,[],,,0,booksrun_internal_api,not_found
Add a comment,On a Midnight Clear,9780671020422,0671020420,Â£14.07,[],,,0,booksrun_internal_api,not_found
Young Adult,Obsidian (Lux #1),9781399737982,1399737988,Â£14.86,[],,,0,booksrun_internal_api,not_found
Food and Drink,My Paris Kitchen: Recipes and Stories,9781607742685,1607742683,Â£33.37,[],,,0,booksrun_internal_api,not_found
Fantasy,Masks and Shadows,9798989961504,nan,Â£56.40,[],,,0,booksrun_internal_api,not_found
Food and Drink,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",9781621060482,1621060489,Â£14.02,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",9781613984086,1613984081,Â£46.91,[],,,0,booksrun_internal_api,not_found
Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",9781608866878,1608866874,Â£45.61,[16.31],16.31,16.31,1,booksrun_internal_api,found
Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),9781608868032,1608868036,Â£19.92,[16.71],16.71,16.71,1,booksrun_internal_api,found
Food and Drink,"Layered: Baking, Building, and Styling Spectacular Cakes",9781613129432,1613129432,Â£40.11,[],,,0,booksrun_internal_api,not_found
Add a comment,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),9781633870086,1633870081,Â£53.90,[],,,0,booksrun_internal_api,not_found
Science Fiction,Join,9780132715553,0132715554,Â£35.67,[],,,0,booksrun_internal_api,not_found
